Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding;Slide;Series
Negative Prop-Lys;Blue/Green;0;0.887;0.887;0.642;0.642;0.909;0.099;8.327;1;1;1;1;1;0.459;0.724;0.888;0;1;0.0144;0.00012;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;17
Negative Prop-Lys;Blue/Red;0;0.891;0.891;0.701;0.701;0.912;0.384;2.166;1;0.992;0.604;1;0.604;0.458;0.71;0.905;0;2;2.796;0.00046;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;17
Negative Prop-Lys;Green/Red;0;0.906;0.906;0.739;0.739;0.923;3.516;0.242;1;0.983;0.364;1;0.364;0.477;0.691;0.913;1;2;0.21393;0.00046;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;17
Negative Prop-Lys;Blue/Green;0;0.884;0.884;0.639;0.639;0.908;0.113;7.308;1;1;0.999;0.999;1;0.459;0.724;0.885;0;1;0.01366;0.00012;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;18
Negative Prop-Lys;Blue/Red;0;0.888;0.888;0.692;0.692;0.911;0.31;2.68;1;0.992;0.773;1;0.773;0.458;0.707;0.902;0;2;1.3851;0.00036;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;18
Negative Prop-Lys;Green/Red;0;0.912;0.912;0.713;0.713;0.929;2.533;0.341;1;0.977;0.431;1;0.431;0.476;0.696;0.918;1;2;0.15192;0.00036;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;18
Negative Prop-Lys;Blue/Green;0;0.86;0.86;0.574;0.574;0.887;0.104;7.589;1;1;1;1;1;0.455;0.832;0.864;0;1;0.01314;0.00012;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;19
Negative Prop-Lys;Blue/Red;0;0.85;0.809;0.788;0.805;0.877;0.32;2.404;0.964;0.997;0.566;0.594;0.921;0.454;0.821;0;0;2;3.6853;0.30076;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;19
Negative Prop-Lys;Green/Red;0;0.886;0.886;0.735;0.735;0.906;2.786;0.295;1;0.988;0.331;1;0.331;0.473;0.84;0.887;1;2;0.22056;0.00034;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;19
Negative Prop-Lys;Blue/Green;0;0.86;0.86;0.567;0.567;0.886;0.113;6.957;0.999;1;0.996;0.996;1;0.453;0.834;0.862;0;1;0.01953;0.00012;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;20
Negative Prop-Lys;Blue/Red;0;0.841;0.797;0.771;0.78;0.87;0.267;2.837;0.95;0.995;0.55;0.581;0.911;0.452;0.814;0;0;2;5.8393;0.39165;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;20
Negative Prop-Lys;Green/Red;0;0.898;0.898;0.741;0.741;0.916;2.109;0.398;1;0.985;0.354;1;0.354;0.474;0.847;0.899;1;2;0.18401;0.00032;0;0;-;-;No Fluorophore;Prop-Lys;2a bis;20
Negative Prop-Lys;Blue/Green;0;0.827;0.827;0.579;0.579;0.87;0.106;7.128;0.94;1;0.719;0.719;1;0.436;0.456;0.876;0;1;0.01392;0.03444;0;0;-;-;No Fluorophore;Prop-Lys;2a;5
Negative Prop-Lys;Blue/Red;0;0.841;0.841;0.68;0.68;0.875;0.399;1.919;1;0.996;0.68;1;0.68;0.445;0.455;0.883;0;2;3.4359;0.00045;0;0;-;-;No Fluorophore;Prop-Lys;2a;5
Negative Prop-Lys;Green/Red;0;0.88;0.88;0.736;0.736;0.904;3.37;0.243;1;0.988;0.407;1;0.407;0.469;0.504;0.88;1;2;0.48242;0.00045;0;0;-;-;No Fluorophore;Prop-Lys;2a;5
Negative Prop-Lys;Blue/Green;0;0.818;0.724;0.778;0.719;0.853;0.119;6.107;0.945;0.976;0.614;0.715;0.812;0.445;0.443;0.871;0;1;8.4313;0.97603;0;0;-;-;No Fluorophore;Prop-Lys;2a;6
Negative Prop-Lys;Blue/Red;0;0.838;0.838;0.642;0.642;0.872;0.316;2.408;1;0.992;0.769;1;0.769;0.447;0.465;0.88;0;2;2.6357;0.00035;0;0;-;-;No Fluorophore;Prop-Lys;2a;6
Negative Prop-Lys;Green/Red;0;0.888;0.888;0.731;0.731;0.911;2.422;0.342;1;0.977;0.42;1;0.42;0.473;0.509;0.888;1;2;0.38175;0.00035;0;0;-;-;No Fluorophore;Prop-Lys;2a;6
Negative Prop-Lys;Blue/Green;0;0.735;0.735;0.586;0.586;0.775;0.106;5.675;0.927;1;0.483;0.483;1;0.448;0.3;0.78;0;1;0.00723;0.13901;0;0;-;-;No Fluorophore;Prop-Lys;2a;7
Negative Prop-Lys;Blue/Red;0;0.852;0.852;0.607;0.607;0.875;0.466;1.643;1;0.993;0.579;1;0.579;0.459;0.387;0.885;0;2;1.5006;0.00038;0;0;-;-;No Fluorophore;Prop-Lys;2a;7
Negative Prop-Lys;Green/Red;0;0.797;0.797;0.643;0.643;0.824;3.185;0.213;1;0.986;0.358;1;0.358;0.471;0.358;0.797;1;2;0.29238;0.00038;0;0;-;-;No Fluorophore;Prop-Lys;2a;7
Negative Prop-Lys;Blue/Green;0;0.746;0.746;0.597;0.597;0.785;0.118;5.239;0.93;1;0.511;0.511;1;0.449;0.305;0.792;0;1;0.00272;0.07466;0;0;-;-;No Fluorophore;Prop-Lys;2a;8
Negative Prop-Lys;Blue/Red;0;0.849;0.849;0.586;0.586;0.873;0.376;2.028;1;0.99;0.735;1;0.735;0.457;0.383;0.881;0;2;0.97636;0.00186;0;0;-;-;No Fluorophore;Prop-Lys;2a;8
Negative Prop-Lys;Green/Red;0;0.807;0.807;0.696;0.696;0.834;2.384;0.291;1;0.975;0.365;1;0.365;0.473;0.36;0.808;1;2;0.19774;0.00186;0;0;-;-;No Fluorophore;Prop-Lys;2a;8
Negative Prop-Lys;Blue/Green;0;0.871;0.871;0.608;0.608;0.896;0.1;8.069;0.935;1;0.463;0.463;1;0.441;0.472;0.895;0;1;0.00271;0.15973;0;0;-;-;No Fluorophore;Prop-Lys;2a;9
Negative Prop-Lys;Blue/Red;0;0.872;0.833;0.829;0.858;0.893;0.53;1.504;0.982;0.998;0.644;0.694;0.898;0.461;0.488;0.882;0;2;2.67;0.58305;0;0;-;-;No Fluorophore;Prop-Lys;2a;9
Negative Prop-Lys;Green/Red;0;0.871;0.871;0.776;0.776;0.892;4.789;0.166;1;0.982;0.356;1;0.356;0.459;0.455;0.872;1;2;0.40977;0.00047;0;0;-;-;No Fluorophore;Prop-Lys;2a;9
Negative Prop-Lys;Blue/Green;0;0.872;0.872;0.58;0.58;0.898;0.111;7.259;0.931;1;0.578;0.578;1;0.442;0.474;0.895;0;1;0.00184;0.06658;0;0;-;-;No Fluorophore;Prop-Lys;2a;10
Negative Prop-Lys;Blue/Red;0;0.876;0.876;0.648;0.648;0.896;0.419;1.918;1;0.994;0.583;1;0.583;0.462;0.494;0.885;0;2;2.1945;0.00036;0;0;-;-;No Fluorophore;Prop-Lys;2a;10
Negative Prop-Lys;Green/Red;0;0.885;0.885;0.744;0.744;0.904;3.43;0.238;1;0.988;0.358;1;0.358;0.461;0.462;0.887;1;2;0.40066;0.00036;0;0;-;-;No Fluorophore;Prop-Lys;2a;10
Negative Prop-Lys;Blue/Green;0;0.815;0.815;0.496;0.496;0.855;0.1;7.29;0.893;1;0.43;0.43;1;0.41;0.509;0.863;0;1;0.00247;0.49548;0;0;-;-;No Fluorophore;Prop-Lys;2a;11
Negative Prop-Lys;Blue/Red;0;0.819;0.792;0.726;0.766;0.852;0.275;2.633;0.926;0.999;0.418;0.426;0.959;0.449;0.495;0.879;0;2;1.9327;0.50876;0;0;-;-;No Fluorophore;Prop-Lys;2a;11
Negative Prop-Lys;Green/Red;0;0.866;0.866;0.674;0.674;0.89;2.477;0.32;1;0.981;0.398;1;0.398;0.441;0.545;0.866;1;2;0.65274;0.00033;0;0;-;-;No Fluorophore;Prop-Lys;2a;11
Negative Prop-Lys;Blue/Green;0;0.823;0.823;0.523;0.523;0.861;0.109;6.794;0.897;1;0.433;0.433;1;0.419;0.513;0.872;0;1;0.00431;0.41108;0;0;-;-;No Fluorophore;Prop-Lys;2a;12
Negative Prop-Lys;Blue/Red;0;0.827;0.81;0.706;0.731;0.859;0.239;3.086;0.924;0.999;0.394;0.402;0.952;0.449;0.499;0.888;0;2;1.4593;0.35368;0;0;-;-;No Fluorophore;Prop-Lys;2a;12
Negative Prop-Lys;Green/Red;0;0.887;0.887;0.595;0.595;0.908;2.006;0.411;1;0.978;0.407;1;0.407;0.448;0.557;0.888;1;2;0.52128;0.00028;0;0;-;-;No Fluorophore;Prop-Lys;2a;12
Negative Prop-Lys;Blue/Green;0;0.866;0.762;0.841;0.771;0.894;0.112;7.157;0.974;0.986;0.693;0.794;0.845;0.47;0.839;0.868;0;1;9.3312;1.0007;0;0;-;-;No Fluorophore;Prop-Lys;2a;13
Negative Prop-Lys;Blue/Red;0;0.873;0.873;0.639;0.639;0.901;0.359;2.263;1;0.995;0.696;1;0.696;0.462;0.851;0;0;2;2.9673;0.00068;0;0;-;-;No Fluorophore;Prop-Lys;2a;13
Negative Prop-Lys;Green/Red;0;0.895;0.895;0.74;0.74;0.917;2.996;0.281;1;0.989;0.402;1;0.402;0.478;0.851;0.897;1;2;0.42685;0.00068;0;0;-;-;No Fluorophore;Prop-Lys;2a;13
Negative Prop-Lys;Blue/Green;0;0.869;0.775;0.832;0.778;0.897;0.123;6.554;0.972;0.987;0.675;0.767;0.849;0.469;0.838;0.871;0;1;7.8053;0.90018;0;0;-;-;No Fluorophore;Prop-Lys;2a;14
Negative Prop-Lys;Blue/Red;0;0.867;0.831;0.791;0.828;0.895;0.293;2.733;0.951;0.999;0.521;0.533;0.959;0.462;0.84;0;0;2;3.9098;0.58979;0;0;-;-;No Fluorophore;Prop-Lys;2a;14
Negative Prop-Lys;Green/Red;0;0.9;0.9;0.765;0.765;0.922;2.252;0.377;1;0.979;0.413;1;0.413;0.479;0.852;0.902;1;2;0.32724;0.00377;0;0;-;-;No Fluorophore;Prop-Lys;2a;14
Negative Prop-Lys;Blue/Green;0;0.894;0.894;0.691;0.691;0.917;0.127;6.647;1;1;0.997;0.997;1;0.47;0.688;0.895;0;1;0.00938;0.00013;0;0;-;-;No Fluorophore;Prop-Lys;2a;15
Negative Prop-Lys;Blue/Red;0;0.898;0.898;0.735;0.735;0.92;0.39;2.174;1;0.996;0.856;1;0.856;0.468;0.684;0.9;0;2;0.5753;0.00042;0;0;-;-;No Fluorophore;Prop-Lys;2a;15
Negative Prop-Lys;Green/Red;0;0.901;0.901;0.772;0.772;0.921;2.848;0.298;1;0.976;0.374;1;0.374;0.471;0.614;0.907;1;2;0.17304;0.00042;0;0;-;-;No Fluorophore;Prop-Lys;2a;15
Negative Prop-Lys;Blue/Green;0;0.893;0.893;0.688;0.688;0.916;0.139;6.029;1;1;0.998;0.998;1;0.47;0.685;0.894;0;1;0.01025;0.00013;0;0;-;-;No Fluorophore;Prop-Lys;2a;16
Negative Prop-Lys;Blue/Red;0;0.891;0.873;0.788;0.792;0.914;0.326;2.564;0.983;0.998;0.605;0.688;0.833;0.468;0.676;0.893;0;2;1.8305;0.487;0;0;-;-;No Fluorophore;Prop-Lys;2a;16
Negative Prop-Lys;Green/Red;0;0.904;0.904;0.757;0.757;0.924;2.175;0.392;1;0.968;0.425;1;0.425;0.472;0.614;0.91;1;2;0.14194;0.00035;0;0;-;-;No Fluorophore;Prop-Lys;2a;16
Negative Prop-Lys;Blue/Green;0;0.811;0.765;0.743;0.764;0.839;0.109;6.43;0.956;0.992;0.527;0.576;0.862;0.452;0.355;0.846;0;1;3.2877;0.29274;0;0;-;-;No Fluorophore;Prop-Lys;2a;17
Negative Prop-Lys;Blue/Red;0;0.85;0.85;0.672;0.672;0.874;0.446;1.715;1;0.993;0.578;1;0.578;0.461;0.381;0.867;0;2;2.1551;0.0004;0;0;-;-;No Fluorophore;Prop-Lys;2a;17
Negative Prop-Lys;Green/Red;0;0.817;0.817;0.695;0.695;0.843;3.34;0.213;1;0.982;0.294;1;0.294;0.468;0.398;0.819;1;2;0.28472;0.0004;0;0;-;-;No Fluorophore;Prop-Lys;2a;17
Negative Prop-Lys;Blue/Green;0;0.813;0.767;0.743;0.764;0.841;0.121;5.863;0.954;0.992;0.526;0.573;0.865;0.453;0.358;0.848;0;1;3.2418;0.32321;0;0;-;-;No Fluorophore;Prop-Lys;2a;18
Negative Prop-Lys;Blue/Red;0;0.856;0.856;0.649;0.649;0.879;0.375;2.06;1;0.993;0.612;1;0.612;0.461;0.387;0.873;0;2;1.9279;0.00033;0;0;-;-;No Fluorophore;Prop-Lys;2a;18
Negative Prop-Lys;Green/Red;0;0.836;0.836;0.701;0.701;0.86;2.592;0.285;1;0.982;0.312;1;0.312;0.472;0.411;0.838;1;2;0.25997;0.00033;0;0;-;-;No Fluorophore;Prop-Lys;2a;18
Negative Prop-Lys;Blue/Green;0;0.872;0.872;0.642;0.642;0.9;0.11;7.393;0.961;1;0.684;0.684;1;0.444;0.635;0.914;0;1;0.00327;0.02368;0;0;-;-;No Fluorophore;Prop-Lys;2a;19
Negative Prop-Lys;Blue/Red;0;0.846;0.821;0.8;0.823;0.878;0.359;2.144;0.955;0.999;0.53;0.541;0.961;0.442;0.601;0.905;0;2;1.7949;0.42533;0;0;-;-;No Fluorophore;Prop-Lys;2a;19
Negative Prop-Lys;Green/Red;0;0.905;0.905;0.809;0.809;0.924;3.137;0.272;1;0.99;0.383;1;0.383;0.463;0.666;0.907;1;2;0.24618;0.00044;0;0;-;-;No Fluorophore;Prop-Lys;2a;19
Negative Prop-Lys;Blue/Green;0;0.869;0.869;0.624;0.624;0.898;0.122;6.627;1;1;1;1;1;0.443;0.632;0.913;0;2;2.188;0.29564;0;0;-;-;No Fluorophore;Prop-Lys;2a;20
Negative Prop-Lys;Blue/Red;0;0.84;0.79;0.823;0.811;0.873;0;3;1;1;1;1;0.922;0.443;0.589;0.903;0;2;3.9134;0.29564;0;0;-;-;No Fluorophore;Prop-Lys;2a;20
Negative Prop-Lys;Green/Red;0;0.913;0.912;0.816;0.819;0.93;2;0;1;0.993;0;1;0.396;0.467;0.665;0.914;1;2;0.22872;0.00034;0;0;-;-;No Fluorophore;Prop-Lys;2a;20
Negative Prop-Lys;Blue/Green;0;0.852;0.852;0.544;0.544;0.888;0.095;8.328;1;1;1;1;1;0.446;0.788;0.871;0;1;0.15635;0.00019;0;0;-;-;No Fluorophore;Prop-Lys;2a;21
Negative Prop-Lys;Blue/Red;0;0.865;0.865;0.643;0.64;0.896;0.453;1.771;0.999;0.994;0.663;0.994;0.666;0.452;0.797;0.901;0;2;9.1347;0.00051;0;0;-;-;No Fluorophore;Prop-Lys;2a;21
Negative Prop-Lys;Green/Red;0;0.9;0.9;0.676;0.675;0.922;4.108;0.207;1;0.986;0.434;0.996;0.435;0.473;0.823;0.901;1;2;0.4682;0.00051;0;0;-;-;No Fluorophore;Prop-Lys;2a;21
Negative Prop-Lys;Blue/Green;0;0.81;0.647;0.813;0.671;0.848;0.113;6.334;0.952;0.949;0.673;0.794;0.815;0.44;0.741;0.835;0;1;22.318;2.1266;0;0;-;-;No Fluorophore;Prop-Lys;2a;22
Negative Prop-Lys;Blue/Red;0;0.859;0.859;0.617;0.616;0.891;0.332;2.387;1;0.993;0.701;0.998;0.702;0.449;0.79;0.893;0;2;7.9419;0.00038;0;0;-;-;No Fluorophore;Prop-Lys;2a;22
Negative Prop-Lys;Green/Red;0;0.885;0.885;0.757;0.757;0.91;2.638;0.314;1;0.986;0.421;1;0.421;0.454;0.808;0.886;1;2;0.5846;0.00038;0;0;-;-;No Fluorophore;Prop-Lys;2a;22
Negative Prop-Lys;Blue/Green;0;0.818;0.818;0.485;0.485;0.855;0.11;6.666;0.985;1;0.932;0.932;1;0.428;0.738;0.836;0;1;0.00335;0.00014;0;0;-;-;No Fluorophore;Prop-Lys;2a;23
Negative Prop-Lys;Blue/Red;0;0.848;0.79;0.771;0.794;0.874;0.298;2.564;0.949;0.994;0.552;0.585;0.906;0.458;0.769;0.863;1;2;0.30485;0.00033;0;0;-;-;No Fluorophore;Prop-Lys;2a;23
Negative Prop-Lys;Green/Red;0;0.863;0.863;0.779;0.779;0.887;2.336;0.337;1;0.977;0.297;1;0.297;0.449;0.772;0.863;1;2;0.30485;0.00033;0;0;-;-;No Fluorophore;Prop-Lys;2a;23
Negative Prop-Lys;Blue/Green;0;0.774;0.547;0.811;0.573;0.81;0.12;5.466;0.951;0.905;0.688;0.808;0.822;0.434;0.694;0.798;0;1;13.11;1.6382;0;0;-;-;No Fluorophore;Prop-Lys;2a;24
Negative Prop-Lys;Blue/Red;0;0.845;0.784;0.771;0.792;0.871;0.256;2.964;0.947;0.994;0.549;0.58;0.912;0.457;0.76;0.86;0;2;5.5167;0.9672;0;0;-;-;No Fluorophore;Prop-Lys;2a;24
Negative Prop-Lys;Green/Red;0;0.852;0.852;0.778;0.779;0.878;1.783;0.432;1;0.986;0.293;1;0.293;0.448;0.754;0.852;1;2;0.31277;0.00029;0;0;-;-;No Fluorophore;Prop-Lys;2a;24
Negative Phe-Az;Blue/Green;0;0.447;0.324;0.694;0.522;1;0;1;1;0.913;1;1;0.836;0.361;0.225;0.463;0;1;13.576;2.2901;0;0;-;-;No Fluorophore;Phe-Az;2b;3
Negative Phe-Az;Blue/Red;0;0.647;0.647;0.676;0.676;1;0;1;1;0.978;1;1;0.799;0.364;0.323;0.659;0;2;6.2174;0.00218;0;0;-;-;No Fluorophore;Phe-Az;2b;3
Negative Phe-Az;Green/Red;0;0.596;0.596;0.842;0.842;1;1;0;1;0.979;1;1;0.643;0.423;0.266;0.597;1;2;0.20428;0.00218;0;0;-;-;No Fluorophore;Phe-Az;2b;3
Negative Phe-Az;Blue/Green;0;0.461;0.342;0.711;0.552;0.55;0;1;1;1;1;1;0.856;0.364;0.233;0.478;0;1;11.414;2.0389;0;0;-;-;No Fluorophore;Phe-Az;2b;4
Negative Phe-Az;Blue/Red;0;0.64;0.64;0.693;0.693;0.745;0;1;1;1;1;1;0.853;0.363;0.321;0.653;0;2;4.5135;0.00836;0;0;-;-;No Fluorophore;Phe-Az;2b;4
Negative Phe-Az;Green/Red;0;0.597;0.533;0.85;0.798;0.672;1;1;1;1;1;1;0.897;0.428;0.259;0.598;1;2;0.39814;0.944;0;0;-;-;No Fluorophore;Phe-Az;2b;4
Negative Phe-Az;Blue/Green;0;0.377;0.377;0.556;0.556;0.545;0;3;1;1;0;0;1;0.308;0.146;0.379;0;1;0.46191;0.81452;0;0;-;-;No Fluorophore;Phe-Az;2b;5
Negative Phe-Az;Blue/Red;0;0.379;0.379;0.594;0.594;0.558;0;1;1;1;0;0;1;0.312;0.122;0.402;0;2;0.46191;1.5222;0;0;-;-;No Fluorophore;Phe-Az;2b;5
Negative Phe-Az;Green/Red;0;0.643;0.643;0.778;0.778;0.723;2;0;1;1;0;1;0.473;0.409;0.262;0.651;1;2;0.5833;0.0451;0;0;-;-;No Fluorophore;Phe-Az;2b;5
Negative Phe-Az;Blue/Green;0;0.359;0.359;0.553;0.553;0.53;0;3;1;1;0;0;1;0.306;0.124;0.36;0;1;0.43613;0.91646;0;0;-;-;No Fluorophore;Phe-Az;2b;6
Negative Phe-Az;Blue/Red;0;0.346;0.346;0.575;0.575;0.532;0;2;1;1;0;0;1;0.302;0.101;0.364;0;2;0.43613;1.8089;0;0;-;-;No Fluorophore;Phe-Az;2b;6
Negative Phe-Az;Green/Red;0;0.66;0.66;0.8;0.8;0.738;1;0;1;1;1;1;0.503;0.411;0.255;0.672;1;2;0.44457;0.04206;0;0;-;-;No Fluorophore;Phe-Az;2b;6
Negative Phe-Az;Blue/Green;0;0.491;0.409;0.685;0.595;1;0.199;2;1;0.971;1;0.542;0.882;0.365;0.37;0.51;0;1;12.973;1.1405;0;0;-;-;No Fluorophore;Phe-Az;2b;7
Negative Phe-Az;Blue/Red;0;0.647;0.647;0.647;0.647;1;0.413;1;1;0.974;1;1;0.773;0.358;0.499;0.66;0;2;8.2852;0.03763;0;0;-;-;No Fluorophore;Phe-Az;2b;7
Negative Phe-Az;Green/Red;0;0.59;0.59;0.796;0.796;1;1.135;0;1;0.967;1;1;0.591;0.446;0.372;0.59;1;2;0.11214;0.03763;0;0;-;-;No Fluorophore;Phe-Az;2b;7
Negative Phe-Az;Blue/Green;0;0.49;0.4;0.667;0.563;1;0.221;1;1;0.966;0;0.528;0.872;0.362;0.362;0.508;0;1;12.48;1.2463;0;0;-;-;No Fluorophore;Phe-Az;2b;8
Negative Phe-Az;Blue/Red;0;0.644;0.644;0.611;0.611;1;0.329;2;1;0.982;1;1;0.77;0.35;0.496;0.657;0;2;7.612;0.00021;0;0;-;-;No Fluorophore;Phe-Az;2b;8
Negative Phe-Az;Green/Red;0;0.617;0.616;0.842;0.842;1;0.844;1;1;1;1;0.539;1;0.451;0.383;0.617;1;2;0.00011;0.23441;0;0;-;-;No Fluorophore;Phe-Az;2b;8
Negative Phe-Az;Blue/Green;0;0.607;0.498;0.653;0.478;1;0.19;3;1;0.941;1;0.604;0.847;0.327;0.182;0.636;0;1;13.744;1.8071;0;0;-;-;No Fluorophore;Phe-Az;2b;9
Negative Phe-Az;Blue/Red;0;0.6;0.6;0.655;0.655;1;0.517;1;1;0.967;1;1;0.745;0.309;0.172;0.628;0;2;8.7761;0.04973;0;0;-;-;No Fluorophore;Phe-Az;2b;9
Negative Phe-Az;Green/Red;0;0.816;0.816;0.825;0.825;1;2.398;0;1;0.962;1;1;0.525;0.415;0.249;0.816;1;2;0.72243;0.04973;0;0;-;-;No Fluorophore;Phe-Az;2b;9
Negative Phe-Az;Blue/Green;0;0.613;0.507;0.67;0.502;0.711;0.199;2.549;0.82;0.954;0.565;0.616;0.871;0.327;0.207;0.639;0;1;12.617;1.7913;0;0;-;-;No Fluorophore;Phe-Az;2b;10
Negative Phe-Az;Blue/Red;0;0.586;0.586;0.654;0.654;0.712;0.459;1.104;1;0.981;0.77;1;0.77;0.309;0.195;0.618;0;2;7.9848;0.00055;0;0;-;-;No Fluorophore;Phe-Az;2b;10
Negative Phe-Az;Green/Red;0;0.814;0.814;0.836;0.836;0.862;2.11;0.353;1;0.972;0.519;1;0.519;0.413;0.276;0.814;1;2;0.85814;0.00055;0;0;-;-;No Fluorophore;Phe-Az;2b;10
Negative Phe-Az;Blue/Green;0;0.248;0.121;0.4;-0.06;0.325;0.182;0.581;0.678;0.674;0.383;0.52;0.591;0.262;0.065;0.336;0;1;20.576;4.0164;0;0;-;-;No Fluorophore;Phe-Az;2b;11
Negative Phe-Az;Blue/Red;0;0.481;0.481;0.513;0.513;0.62;0.374;1.027;1;0.975;0.761;1;0.761;0.277;0.221;0.536;0;2;5.6783;0.00275;0;0;-;-;No Fluorophore;Phe-Az;2b;11
Negative Phe-Az;Green/Red;0;0.405;0.405;0.708;0.708;0.502;0.756;0.333;1;0.936;0.464;1;0.464;0.333;0.193;0.405;1;2;0.90122;0.00275;0;0;-;-;No Fluorophore;Phe-Az;2b;11
Negative Phe-Az;Blue/Green;0;0.234;0.097;0.377;-0.096;0.316;0.184;0.541;0.653;0.658;0.366;0.502;0.573;0.259;0.056;0.327;0;1;21.043;4.1927;0;0;-;-;No Fluorophore;Phe-Az;2b;12
Negative Phe-Az;Blue/Red;0;0.467;0.467;0.483;0.483;0.609;0.33;1.123;1;0.976;0.774;1;0.774;0.261;0.214;0.515;0;2;5.2124;0.01607;0;0;-;-;No Fluorophore;Phe-Az;2b;12
Negative Phe-Az;Green/Red;0;0.416;0.416;0.643;0.643;0.516;0.698;0.381;1;0.938;0.488;1;0.488;0.333;0.197;0.416;1;2;0.78253;0.01607;0;0;-;-;No Fluorophore;Phe-Az;2b;12
Negative Phe-Az;Blue/Green;0;0.576;0.576;0.638;0.638;0.719;0.153;3.389;1;1;1;1;1;0.346;0.432;0.588;0;1;0.00267;0.00025;0;0;-;-;No Fluorophore;Phe-Az;2b;13
Negative Phe-Az;Blue/Red;0;0.523;0.523;0.736;0.736;0.657;0.191;2.256;0.831;1;0.506;0.506;1;0.348;0.409;0.538;0;2;0.00267;1.0908;0;0;-;-;No Fluorophore;Phe-Az;2b;13
Negative Phe-Az;Green/Red;0;0.562;0.562;0.798;0.798;0.672;1.042;0.433;1;0.947;0.475;1;0.475;0.342;0.393;0.562;1;2;1.3968;0.00114;0;0;-;-;No Fluorophore;Phe-Az;2b;13
Negative Phe-Az;Blue/Green;0;0.576;0.576;0.631;0.631;0.72;0.163;3.177;1;1;1;1;1;0.346;0.433;0.586;0;1;0.00619;0.00025;0;0;-;-;No Fluorophore;Phe-Az;2b;14
Negative Phe-Az;Blue/Red;0;0.506;0.506;0.738;0.738;0.643;0.162;2.549;0.81;1;0.475;0.475;1;0.348;0.405;0.518;0;2;0.00619;0.9606;0;0;-;-;No Fluorophore;Phe-Az;2b;14
Negative Phe-Az;Green/Red;0;0.571;0.571;0.77;0.77;0.68;0.84;0.551;1;0.958;0.498;1;0.498;0.345;0.395;0.571;1;2;1.0141;0.00148;0;0;-;-;No Fluorophore;Phe-Az;2b;14
Negative Phe-Az;Blue/Green;0;0.455;0.289;0.678;0.414;0.594;0.139;2.544;0.851;0.922;0.63;0.711;0.847;0.308;0.089;0.487;0;1;16.885;2.8299;0;0;-;-;No Fluorophore;Phe-Az;2b;15
Negative Phe-Az;Blue/Red;0;0.599;0.547;0.746;0.679;0.736;0.237;2.286;0.876;0.993;0.623;0.635;0.97;0.32;0.111;0.617;0;2;7.4487;1.521;0;0;-;-;No Fluorophore;Phe-Az;2b;15
Negative Phe-Az;Green/Red;0;0.621;0.621;0.835;0.835;0.746;1.173;0.474;1;0.96;0.635;1;0.635;0.374;0.181;0.621;1;2;0.77106;0.05118;0;0;-;-;No Fluorophore;Phe-Az;2b;15
Negative Phe-Az;Blue/Green;0;0.456;0.29;0.657;0.387;0.591;0.144;2.424;0.834;0.92;0.608;0.693;0.832;0.306;0.08;0.486;0;1;17.335;2.9731;0;0;-;-;No Fluorophore;Phe-Az;2b;16
Negative Phe-Az;Blue/Red;0;0.586;0.545;0.738;0.687;0.727;0.197;2.68;0.857;0.996;0.604;0.612;0.979;0.318;0.088;0.606;0;2;6.3211;1.0672;0;0;-;-;No Fluorophore;Phe-Az;2b;16
Negative Phe-Az;Green/Red;0;0.627;0.627;0.836;0.836;0.751;0.956;0.589;1;0.969;0.668;1;0.668;0.376;0.18;0.629;1;2;0.5926;0.03406;0;0;-;-;No Fluorophore;Phe-Az;2b;16
Negative Phe-Az;Blue/Green;0;0.609;0.466;0.636;0.423;0.67;0.174;2.577;0.818;0.914;0.499;0.595;0.755;0.374;0.209;0.653;0;1;11.393;1.6023;0;0;-;-;No Fluorophore;Phe-Az;2b;17
Negative Phe-Az;Blue/Red;0;0.638;0.638;0.586;0.586;0.711;0.533;0.948;1;0.969;0.638;1;0.638;0.363;0.247;0.652;0;2;5.9486;0.00035;0;0;-;-;No Fluorophore;Phe-Az;2b;17
Negative Phe-Az;Green/Red;0;0.793;0.793;0.721;0.721;0.83;2.56;0.269;1;0.962;0.415;1;0.415;0.429;0.246;0.793;1;2;0.5846;0.00035;0;0;-;-;No Fluorophore;Phe-Az;2b;17
Negative Phe-Az;Blue/Green;0;0.614;0.482;0.645;0.46;0.676;0.186;2.455;0.831;0.928;0.503;0.595;0.764;0.377;0.209;0.66;0;1;9.0209;1.4494;0;0;-;-;No Fluorophore;Phe-Az;2b;18
